NO_OF_FRAMES	581
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
409	4.08000	308.730	305.236	1623.158	249.087	458.907	1343.571	231.640	515.722	1022.717	294.625	622.599	823.092	257.796	145.518	1353.268	257.467	55.959	1034.694	346.949	-60.794	851.678	290.641	463.589	826.747	243.494	397.364	443.642	205.336	359.152	55.364	165.316	304.535	19.969	302.022	400.324	28.806	384.463	383.086	27.114	276.837	103.783	848.153	257.959	177.705	437.664	214.519	221.067	54.035	167.542	272.166	26.944	311.718	187.879	28.786	399.003	210.048	23.510
410	4.09000	308.736	305.201	1623.045	249.204	458.825	1343.452	231.758	515.791	1022.823	294.581	622.545	823.065	257.647	145.418	1353.275	257.496	55.977	1034.636	346.947	-60.813	851.656	290.645	463.649	826.668	243.294	397.219	443.629	205.980	359.223	54.654	165.321	304.446	20.040	301.887	400.192	28.681	384.421	383.126	27.055	276.778	103.766	848.117	257.960	177.611	437.630	214.429	221.169	54.306	167.362	272.008	27.170	311.513	187.796	28.892	399.044	210.054	23.528
411	4.10000	308.600	305.185	1623.062	249.056	458.885	1343.711	231.697	515.876	1022.856	294.656	622.720	823.144	257.562	145.402	1353.273	257.341	56.043	1034.664	346.877	-60.870	851.760	290.565	463.663	826.676	243.457	397.163	443.540	205.791	359.174	54.809	165.280	304.403	20.110	302.187	400.354	28.865	384.459	383.056	26.856	276.647	103.711	848.145	257.959	177.681	437.709	214.378	221.105	53.960	167.463	272.084	27.038	311.495	187.777	29.011	398.929	210.092	23.598
412	4.11000	308.546	305.165	1623.121	249.262	458.819	1343.445	231.712	515.867	1022.961	294.582	622.660	823.312	257.505	145.464	1353.520	257.230	55.969	1034.716	346.721	-60.893	851.728	290.508	463.600	826.701	243.512	397.362	443.633	205.712	359.140	54.861	165.282	304.496	20.100	302.113	400.477	28.742	384.578	382.915	26.898	276.656	103.712	848.167	257.874	177.643	437.641	214.479	221.170	53.918	167.443	272.219	27.013	311.542	187.835	29.052	399.087	210.177	23.735
413	4.12000	308.507	305.133	1623.029	249.233	459.043	1343.608	231.525	515.910	1022.944	294.827	622.802	823.350	257.604	145.422	1353.388	257.321	56.062	1034.654	346.694	-60.880	851.857	290.433	463.687	826.744	243.383	397.223	443.590	205.492	359.150	54.933	165.330	304.508	20.147	302.053	400.367	28.840	384.581	382.915	26.672	276.575	103.761	848.122	257.914	177.742	437.684	214.583	221.139	53.990	167.513	272.179	26.854	311.533	187.759	28.869	399.039	210.164	23.845
414	4.13000	308.443	305.103	1623.077	249.156	458.805	1343.600	231.523	516.078	1023.050	294.746	622.878	823.364	257.498	145.420	1353.490	257.190	56.023	1034.645	346.568	-60.796	851.833	290.342	463.663	826.714	243.262	397.270	443.550	205.886	359.305	54.572	165.312	304.491	20.050	301.842	400.318	28.649	384.436	383.068	27.023	276.539	103.873	848.216	257.877	177.709	437.731	214.793	221.127	54.110	167.509	272.298	26.973	311.571	187.847	28.903	399.238	210.144	23.754
415	4.14000	308.336	305.058	1623.069	249.011	458.857	1343.519	231.692	516.109	1022.999	294.823	622.980	823.421	257.501	145.660	1353.409	257.064	56.083	1034.759	346.396	-60.782	851.953	290.319	463.651	826.666	243.331	397.150	443.546	205.593	359.434	55.199	165.308	304.523	20.103	302.180	400.356	28.923	384.659	382.949	27.259	276.637	103.920	848.034	257.931	177.821	437.715	214.619	221.280	54.216	167.459	272.100	27.130	311.552	187.811	28.726	399.100	210.191	23.741
416	4.15000	308.316	305.032	1623.152	249.095	459.121	1343.763	231.638	516.182	1023.162	294.908	623.016	823.345	257.555	145.992	1353.502	257.009	56.074	1034.800	346.340	-60.744	851.901	290.246	463.696	826.721	243.258	397.265	443.527	206.148	359.242	54.387	165.336	304.552	20.052	302.040	400.474	28.752	384.565	383.098	27.043	276.416	103.831	848.215	257.907	177.664	437.722	214.437	221.137	54.125	167.518	272.162	26.976	311.875	187.563	28.870	399.074	210.183	23.745
417	4.16000	308.202	305.023	1623.121	248.871	459.067	1343.725	231.707	516.281	1023.089	294.767	623.100	823.376	257.449	145.700	1353.467	257.025	56.102	1034.863	346.389	-60.671	851.916	290.140	463.764	826.741	243.334	397.172	443.584	205.755	359.370	54.901	165.365	304.590	20.118	302.102	400.377	28.776	384.599	383.024	26.998	276.370	103.911	848.123	257.801	177.734	437.662	214.005	220.945	54.469	167.284	271.967	27.270	311.579	187.799	28.874	399.010	210.004	23.679
418	4.17000	308.197	305.071	1623.142	248.893	459.145	1343.873	231.610	516.309	1023.177	294.760	623.222	823.510	257.286	145.758	1353.401	257.000	56.162	1034.867	346.186	-60.752	852.012	290.126	463.753	826.691	243.253	397.221	443.619	205.709	359.134	54.616	165.413	304.573	19.876	302.042	400.430	28.784	384.559	383.126	27.075	276.335	103.836	848.200	257.866	177.853	437.653	214.379	220.977	54.071	167.601	272.161	27.157	311.549	187.786	28.875	399.095	210.251	23.663
